Region,Country
SSA,Benin
SSA,Botswana
SSA,Burkina Faso
SSA,Burundi
SSA,Congo Democratic Republic
SSA,Ivory Coast
SSA,Ethiopia
SSA,Ghana
SSA,Kenya
SSA,Madagascar
SSA,Malawi
SSA,Mali
SSA,Mozambique
SSA,Niger
SSA,Nigeria
SSA,Rwanda
SSA,Senegal
SSA,South Africa
SSA,South Sudan
SSA,Sudan
SSA,Tanzania
SSA,Uganda
SSA,Zambia
SSA,Zimbabwe
SA,Afghanistan
SA,Bangladesh
SA,India
SA,Pakistan
MENA,Algeria
MENA,Egypt
MENA,Iraq
MENA,Jordan
MENA,Morocco
MENA,Syria
MENA,Tunisia
MENA,Yemen
LAC,Brazil
LAC,Colombia
LAC,Haiti
LAC,Mexico
LAC,Nicaragua
LAC,Paraguay
LAC,Peru
ECA,Bosnia
ECA,Georgia
ECA,Russia
ECA,Tajikistan
ECA,Kyrgyzstan
EAP,Cambodia
EAP,China
EAP,Fiji
EAP,Indonesia
EAP,Malaysia
EAP,Myanmar
EAP,Mongolia
EAP,Philippines
EAP,Vietnam
